lat,lon,vwind,uwind,speed,wdir,gust
44.11518946361845,-109.67592424720142,3.72,4.7,5.99,225.5,9.01
44.11751045737364,-109.64614556785251,3.65,1.53,3.96,196.60000000000002,6.7
44.117827033303065,-109.91739080958057,1.3800000000000001,3.09,3.39,239.60000000000002,5.37
44.12018605960711,-109.88761712292447,-0.86,-0.02,0.86,355.3,3.87
44.12254035474459,-109.85784199434131,0.34,-1.48,1.51,96.7,3.63
44.12488991859103,-109.82806542659888,1.96,-2.27,3.0,124.5,4.5
44.12723475102235,-109.79828742246586,4.14,-0.28,4.15,169.9,6.51
44.12957485191457,-109.7685079847117,4.55,5.43,7.08,223.8,9.63
44.131910221144146,-109.7387271161068,3.95,7.61,8.57,236.4,11.200000000000001
44.13424085858776,-109.70894481942223,4.45,10.65,11.55,241.10000000000002,11.700000000000001
44.13656676412229,-109.67916109742987,3.94,10.98,11.67,244.0,11.67
44.13888793762506,-109.64937595290252,2.48,5.45,5.99,239.3,8.82
44.13919978644707,-109.92068079217788,2.39,2.05,3.15,214.4,5.25
44.141558995372634,-109.89090064509331,-0.3,2.6,2.62,270.40000000000003,5.19
44.143913472738085,-109.8611190551351,0.85,1.26,1.51,229.8,4.5
44.14626321841913,-109.83133602507277,2.17,-0.3,2.19,165.8,4.51
44.14860823229178,-109.80155155767677,6.94,2.43,7.36,193.0,7.48
44.15094851423227,-109.7717656557184,4.55,4.9,6.69,220.8,9.13
44.153284064117145,-109.74197832196961,4.48,8.32,9.450000000000001,235.5,11.26
44.155614881823226,-109.71218955920342,2.92,7.41,7.96,242.20000000000002,11.700000000000001
44.157940967227646,-109.68239937019341,1.48,7.0200000000000005,7.17,251.9,10.950000000000001
44.16026232020773,-109.65260775771412,0.99,6.33,6.41,254.9,9.32
44.16056944115086,-109.9239722204178,2.65,1.33,2.96,200.3,4.87
44.16292883242345,-109.894185610136,4.09,5.2,6.62,225.5,6.82
44.16528349174289,-109.86439755603305,1.34,5.18,5.3500000000000005,249.20000000000002,5.51
44.16763341898508,-109.83460806088044,1.97,5.1000000000000005,5.47,242.70000000000002,5.66
44.16997861402615,-109.80481712745025,2.7600000000000002,2.89,4.0,220.10000000000002,5.88
44.17231907674252,-109.77502475851553,5.28,6.140000000000001,8.1,223.10000000000002,8.38
44.174654807010846,-109.74523095685004,5.2700000000000005,8.02,9.59,230.5,10.01
44.17698580470813,-109.71543572522849,5.16,10.86,12.02,238.4,12.13
44.17931206971168,-109.68563906642635,2.8000000000000003,11.97,12.3,250.60000000000002,12.370000000000001
44.18163360189895,-109.65584098321982,0.06,6.28,6.28,263.3,9.88
