lat,lon,vwind,uwind,speed,wdir,gust
44.11518946361845,-109.67592424720142,0.14,4.34,4.3500000000000005,262.0,8.25
44.11751045737364,-109.64614556785251,1.31,4.14,4.34,246.20000000000002,8.120000000000001
44.117827033303065,-109.91739080958057,-1.17,4.23,4.39,279.2,7.94
44.12018605960711,-109.88761712292447,-0.77,4.87,4.93,272.7,8.14
44.12254035474459,-109.85784199434131,-0.37,5.25,5.26,267.8,8.43
44.12488991859103,-109.82806542659888,-0.36,5.76,5.7700000000000005,267.40000000000003,8.83
44.12723475102235,-109.79828742246586,-0.31,6.28,6.29,266.5,9.23
44.12957485191457,-109.7685079847117,-0.26,6.8,6.8,265.90000000000003,9.57
44.131910221144146,-109.7387271161068,-0.53,6.51,6.53,268.5,9.44
44.13424085858776,-109.70894481942223,-0.34,6.5200000000000005,6.53,266.8,9.21
44.13656676412229,-109.67916109742987,0.4,6.58,6.59,260.3,9.07
44.13888793762506,-109.64937595290252,1.12,5.16,5.28,251.60000000000002,8.870000000000001
44.13919978644707,-109.92068079217788,-0.12,5.04,5.04,265.0,8.36
44.141558995372634,-109.89090064509331,0.3,5.61,5.61,260.6,8.82
44.143913472738085,-109.8611190551351,0.3,5.86,5.87,260.8,9.08
44.14626321841913,-109.83133602507277,0.35000000000000003,6.140000000000001,6.15,260.40000000000003,9.33
44.14860823229178,-109.80155155767677,0.05,6.6000000000000005,6.6000000000000005,263.40000000000003,9.51
44.15094851423227,-109.7717656557184,0.09,6.62,6.62,262.90000000000003,9.78
44.153284064117145,-109.74197832196961,-0.05,6.57,6.57,264.2,9.71
44.155614881823226,-109.71218955920342,0.03,6.33,6.33,263.5,9.63
44.157940967227646,-109.68239937019341,0.24,6.12,6.12,261.6,9.56
44.16026232020773,-109.65260775771412,0.88,5.58,5.65,254.9,9.43
44.16056944115086,-109.9239722204178,1.06,5.19,5.29,252.10000000000002,8.76
44.16292883242345,-109.894185610136,0.99,5.94,6.03,254.3,9.09
44.16528349174289,-109.86439755603305,0.72,5.94,5.98,256.8,9.28
44.16763341898508,-109.83460806088044,0.75,6.2,6.25,256.8,9.67
44.16997861402615,-109.80481712745025,0.73,6.46,6.5,257.3,9.81
44.17231907674252,-109.77502475851553,0.92,6.68,6.74,256.0,10.05
44.174654807010846,-109.74523095685004,0.63,6.65,6.68,258.40000000000003,9.91
44.17698580470813,-109.71543572522849,0.61,7.15,7.18,258.90000000000003,10.02
44.17931206971168,-109.68563906642635,0.78,7.12,7.16,257.6,9.94
44.18163360189895,-109.65584098321982,0.41000000000000003,6.11,6.12,259.90000000000003,9.93
44.18193599419327,-109.92726509524945,1.32,5.25,5.41,249.60000000000002,8.96
44.18429556753834,-109.89747201899984,1.1500000000000001,5.21,5.34,251.3,9.08
44.18665040853781,-109.86767749798096,0.78,5.49,5.54,255.70000000000002,9.43
44.18900051706765,-109.83788153496582,1.05,6.26,6.34,254.20000000000002,9.76
44.19134589300423,-109.80808413272847,1.54,6.74,6.91,250.9,10.16
44.193686536224035,-109.77828529404356,1.57,6.72,6.9,250.60000000000002,10.3
44.19602244660399,-109.74848502168673,1.01,6.21,6.29,254.5,10.17
44.19835362402119,-109.71868331843439,0.75,5.91,5.96,256.6,10.16
44.20068006835306,-109.68888018706373,0.73,7.13,7.17,257.90000000000003,10.23
44.20300177947725,-109.65907563035285,0.4,6.12,6.13,260.0,10.42
44.20329944235459,-109.93055941762283,1.84,5.5200000000000005,5.82,245.3,9.27
44.20565919749757,-109.90075987263317,2.0100000000000002,5.0,5.39,241.9,9.22
44.208014219903,-109.87095888192518,1.77,6.28,6.5200000000000005,248.0,9.58
44.21036450944701,-109.84115644827361,1.84,6.76,7.0,248.5,10.06
44.21271006600613,-109.81135257445428,1.82,7.03,7.26,249.20000000000002,10.53
44.21505088945702,-109.7815472632436,2.0100000000000002,6.73,7.03,247.10000000000002,10.53
44.21738697967671,-109.75174051741905,1.3900000000000001,6.0,6.16,250.70000000000002,10.27
44.219718336542485,-109.72193233975865,1.32,6.45,6.58,252.20000000000002,9.98
44.22204495993187,-109.69212273304151,0.28,5.15,5.15,260.7,9.96
44.22436684972275,-109.66231170004741,0.72,7.36,7.4,258.3,10.06
44.22465978241652,-109.9338551884888,0.85,6.05,6.11,255.70000000000002,9.51
44.22701971908285,-109.90404917198505,1.86,5.7700000000000005,6.0600000000000005,245.9,9.67
44.22937492262015,-109.874241708813,1.95,5.82,6.13,245.20000000000002,9.88
44.231725392904856,-109.84443280174935,2.23,6.3,6.69,244.20000000000002,10.33
44.234071129813536,-109.81462245357152,2.27,6.7700000000000005,7.140000000000001,245.20000000000002,10.6
44.23641213322306,-109.78481066705776,1.6500000000000001,6.32,6.54,249.10000000000002,10.46
44.23874840301056,-109.75499744498727,1.35,5.51,5.67,250.0,9.91
44.24107993905354,-109.72518279013988,1.07,5.45,5.5600000000000005,252.60000000000002,9.86
44.24340674122965,-109.69536670529644,0.6900000000000001,5.65,5.69,256.8,10.09
44.24572880941692,-109.66554919323848,0.66,5.86,5.9,257.40000000000003,10.370000000000001
44.248377129077255,-109.9073399180053,1.81,6.140000000000001,6.4,247.3,10.6
44.2507325134724,-109.87752597959268,2.47,7.16,7.58,244.70000000000002,10.78
44.25308316422422,-109.84771059633944,2.23,6.59,6.96,245.0,10.6
44.25542908120944,-109.8178937710248,1.9000000000000001,6.63,6.9,247.8,10.540000000000001
44.257770264305144,-109.78807550642887,1.6600000000000001,5.83,6.0600000000000005,247.9,10.11
44.26010671338855,-109.75825580533247,2.2600000000000002,5.71,6.140000000000001,242.20000000000002,9.92
44.262438428337326,-109.72843467051732,2.02,6.72,7.01,247.0,10.01
44.26476540902934,-109.698612104766,1.98,7.43,7.69,248.9,10.28
