lat,lon,vwind,uwind,speed,wdir,gust
34.87127040132321,-118.27923232966442,1.43,-1.1500000000000001,1.83,131.4,4.76
34.87511123662803,-118.25222046221332,1.26,-0.91,1.55,134.3,4.86
34.87894760956237,-118.22520673021785,1.12,-0.67,1.3,139.4,5.03
34.882779519812395,-118.19819113563027,1.02,-0.38,1.09,149.8,5.15
34.88660696706463,-118.17117368040365,1.1500000000000001,0.55,1.28,195.70000000000002,5.23
34.870288683034154,-118.44598066766747,1.45,-2.89,3.24,106.7,5.32
34.874156784778165,-118.41897481386982,1.22,-2.42,2.71,106.80000000000001,4.99
34.87802042540242,-118.3919670827227,1.34,-2.04,2.43,113.4,4.68
34.881879604590665,-118.36495747617407,1.75,-1.85,2.5500000000000003,123.5,4.62
34.885734322027005,-118.33794599617299,1.6400000000000001,-1.3900000000000001,2.15,129.9,4.58
34.88958457739617,-118.31093264466917,1.77,-1.11,2.09,138.1,4.63
34.89343037038309,-118.2839174236133,1.6,-0.85,1.81,142.3,4.74
34.89727170067331,-118.25690033495691,1.59,-0.84,1.79,142.4,4.94
34.90110856795266,-118.22988138065239,1.43,-0.56,1.53,148.9,5.19
34.90494097190749,-118.20286056265299,1.61,0.2,1.62,177.4,5.14
34.90876891222451,-118.1758378829128,1.59,0.15,1.6,175.60000000000002,5.29
34.892443977018345,-118.45069894490602,1.22,-2.68,2.95,104.60000000000001,4.87
34.89631257717601,-118.42368787460084,1.32,-2.3000000000000003,2.65,110.0,4.57
34.90017671557287,-118.39667492583513,1.82,-1.9000000000000001,2.63,124.0,4.39
34.90403639189286,-118.3696601005581,1.92,-1.6300000000000001,2.5100000000000002,129.8,4.5200000000000005
34.907891605820296,-118.34264340071962,2.02,-1.33,2.42,136.8,4.61
34.91174235704007,-118.31562482827066,1.81,-1.06,2.1,139.9,4.7
34.9155886452373,-118.28860438516283,1.93,-0.74,2.06,149.20000000000002,4.82
34.91943047009769,-118.2615820733488,2.0100000000000002,-0.4,2.05,158.9,5.0600000000000005
34.923267831307285,-118.23455789478194,2.06,-0.05,2.06,168.70000000000002,5.67
34.92710072855259,-118.20753185141653,2.02,-0.09,2.0300000000000002,167.70000000000002,5.32
34.9309291615205,-118.18050394520789,1.79,0.23,1.81,177.60000000000002,5.32
34.91459757573167,-118.45541910255344,1.4000000000000001,-2.36,2.74,110.7,4.48
34.918466673884964,-118.42840281379245,1.97,-1.97,2.79,125.0,4.2700000000000005
34.92233130963687,-118.40138464545912,2.07,-1.69,2.67,130.9,4.3
34.92619148267148,-118.37436459950358,2.17,-1.33,2.5500000000000003,138.6,4.5
34.93004719267332,-118.34734267787695,2.1,-1.29,2.47,138.6,4.65
34.93389843932741,-118.32031888253111,2.18,-0.96,2.38,146.3,4.8100000000000005
34.93774522231912,-118.29329321541876,2.23,-0.63,2.32,154.4,5.0200000000000005
34.94158754133431,-118.26626567849362,2.29,-0.29,2.31,162.9,5.15
34.9454253960592,-118.23923627371009,2.56,0.04,2.56,171.10000000000002,5.33
34.94925878618048,-118.21220500302363,2.52,0.0,2.52,170.20000000000002,5.5200000000000005
34.95308771138523,-118.1851718683904,2.48,-0.03,2.48,169.4,5.57
34.93674947560904,-118.46014114172264,2.14,-2.02,2.94,126.7,4.13
34.94061907133976,-118.43311963255651,2.24,-1.73,2.83,132.5,4.19
34.94448420402895,-118.40609624270537,2.4,-1.82,3.0100000000000002,132.9,4.3
34.94834487336088,-118.3790709741204,2.4,-1.36,2.7600000000000002,140.6,4.5
34.952201079020234,-118.35204382875371,2.25,-1.29,2.59,140.3,4.75
34.95605282069224,-118.32501480855817,2.54,-0.88,2.69,151.1,4.91
34.959900098062455,-118.29798391548766,2.54,-0.52,2.59,158.5,5.15
34.96374291081687,-118.27095115149693,2.8000000000000003,-0.18,2.81,166.5,5.3100000000000005
34.96758125864196,-118.24391651854138,2.77,-0.21,2.7800000000000002,165.8,5.49
34.971415141224576,-118.2168800185776,2.7600000000000002,-0.24,2.77,165.10000000000002,5.59
34.97524455825196,-118.1898416535627,2.38,-0.58,2.45,156.4,5.62
34.95889967308581,-118.46486506352737,2.74,-2.07,3.43,133.0,3.99
34.96276976597563,-118.4378383320058,2.81,-2.09,3.5,133.4,4.09
34.96663539518419,-118.4108097186856,3.14,-1.85,3.64,139.6,4.22
34.97049656039594,-118.38377922551906,2.74,-1.96,3.37,134.5,4.46
34.974353261295796,-118.3567468544593,2.72,-1.67,3.19,138.5,4.74
34.97820549756912,-118.32971260746035,2.61,-1.21,2.88,145.20000000000002,4.95
34.98205326890169,-118.30267648647705,2.54,-0.8200000000000001,2.67,152.20000000000002,5.13
34.98589657497965,-118.27563849346512,2.7800000000000002,-0.45,2.81,161.0,5.32
34.989735415489655,-118.24859863038118,2.48,-0.48,2.52,159.20000000000002,5.42
34.99356979011876,-118.22155689918273,2.36,-0.81,2.49,151.20000000000002,5.45
34.99739969855442,-118.19451330182805,1.27,-1.31,1.82,124.4,5.29
34.981048164597915,-118.46959086908221,3.43,-1.48,3.73,146.8,4.0
34.98491875422833,-118.44255891325383,3.11,-1.62,3.5,142.5,4.19
34.98878487953816,-118.41552507451236,3.08,-2.14,3.75,135.3,4.24
